,epoch,loss,accuracy,set
114,58,0.019592230899546398,0.9796936498939477,train
115,58,0.13464639870894082,0.8550754404483559,validation
116,59,0.034244770131409606,0.9536346597145503,train
117,59,0.18993770531591825,0.8656195569169486,validation
118,60,-0.0077159664872505015,0.9709422010494869,train
119,60,0.1316918069365163,0.8721211304640405,validation
120,61,0.01640764974747502,0.965447206654533,train
121,61,0.15295688843675198,0.8744579610262596,validation
122,62,0.0077401036049162195,0.9615639435371492,train
123,62,0.13134616419931608,0.8460883449259905,validation
124,63,0.06655908480562195,0.9768496342192191,train
125,63,0.11367120980218799,0.8794683500522067,validation
126,64,0.07321235470948344,0.9898800744417922,train
127,64,0.10659890205078273,0.853329017172812,validation
128,65,0.055641253286762754,0.9555435803845941,train
129,65,0.1440115236980597,0.8803575459334516,validation
